StoreName,WatchName,SoldDate
Fine Jewelers's,Latch,1962-03-15
WatchUSeek,Entourage,1969-05-19
Fine Jewelers's,Priest,1919-07-04
Haute Horology,Paramagnetic,1863-07-14
Jomashop,Spyglass,1864-03-23
At The Tower,Jockstrap,1931-06-17
Marcy's,Teacup,1948-04-09
Fine Jewelers's,Bow,1980-03-12
Jomashop,Groton,1929-03-04
Biao,Regent,1985-08-18
Princeton Jewelers,Acapulco,2018-10-23
The Times,Zion,1879-02-25
Haute Horology,Slippage,1912-08-23
Haute Horology,Intervention,1987-03-23
Marcy's,Wilhelm,2001-07-04
Marcy's,Individual,1983-04-04
The Times,Playwright,1910-08-26
The Times,Enrollee,1993-06-17
Marcy's,Morristown,1969-10-03
Fine Jewelers's,Song,1906-02-04
At The Tower,Flaky,1852-11-01
Jomashop,Agricultural,2006-02-05
Marcy's,Discrepant,2005-10-11
Fine Jewelers's,Dispersion,2014-12-06
Fresh Jewelers,Subtlety,1923-11-16
WatchUSeek,Sunk,1896-08-20
Haute Horology,Pyrotechnic,1929-01-03
Haute Horology,Braille,1883-07-25
Jomashop,Suppressible,1966-08-14
Fresh Jewelers,Hertz,1970-11-16
At The Tower,Paraphernalia,1850-12-12
Fine Jewelers's,Pontification,1881-04-24
Biao,Towhee,1860-06-28
Fresh Jewelers,Exact,1964-06-14
Jomashop,Dozen,1929-10-28
Fresh Jewelers,Leland,1901-11-05
Haute Horology,Accra,1957-11-28
At The Tower,Lockhart,2000-05-22
Fine Jewelers's,Consecutive,1987-03-26
Biao,Lancaster,2013-06-28
Jomashop,Profundity,1981-04-17
WatchUSeek,Stenography,1937-08-24
Biao,Performance,2003-09-20
Fresh Jewelers,Festoon,1874-02-05
WatchUSeek,Trytophan,1893-10-12
Princeton Jewelers,Municipal,1942-03-22
Marcy's,Disastrous,2006-12-17
Jomashop,Besiege,1933-11-09
The Times,Dylan,1878-01-02
Fresh Jewelers,Cargill,1892-04-26
The Times,Blake,1974-08-05
Princeton Jewelers,Splurge,1959-03-05
Haute Horology,Sea,1898-07-08
Fresh Jewelers,Frame,1913-12-10
Fresh Jewelers,Shrunken,1984-05-04
Biao,Ariadne,1929-07-17
Princeton Jewelers,Corey,1888-09-10
Princeton Jewelers,Land,1901-05-06
Marcy's,Russ,1885-07-18
At The Tower,Delaney,1953-08-20
Fine Jewelers's,Builtin,1997-04-25
Marcy's,Objet,1903-06-01
Fine Jewelers's,Duopoly,1867-12-06
At The Tower,Ascomycetes,1931-05-05
Fresh Jewelers,Barton,1953-06-02
WatchUSeek,Bombard,1851-09-23
Fine Jewelers's,Rhenium,1863-12-27
Fresh Jewelers,Boswell,1915-01-04
Haute Horology,Excrete,1997-04-01
Haute Horology,Signora,1912-09-06
Marcy's,Laxative,1868-02-14
WatchUSeek,Redstone,1875-04-18
At The Tower,Cavilling,1880-09-11
Princeton Jewelers,Faulty,1953-10-11
Marcy's,Calendar,1875-08-22
Marcy's,Tobago,1988-09-02
Biao,Spangle,1939-04-26
Jomashop,Polynomial,1907-12-03
Biao,Sport,1965-02-20
Fresh Jewelers,Cashew,1867-08-02
The Times,Convex,1862-07-04
At The Tower,Contemplate,1872-04-19
Haute Horology,Hessian,1983-11-06
Biao,Triton,1867-08-04
Marcy's,Frail,1877-10-17
Haute Horology,Mountaintop,1872-10-20
Haute Horology,Gantry,1861-06-01
Haute Horology,Cholera,2008-02-18
Jomashop,Weldon,1883-09-22
Princeton Jewelers,Spectral,1979-01-28
Haute Horology,Soffit,1873-06-27
Jomashop,Estate,1978-12-21
Fine Jewelers's,Curium,1983-09-25
