WatchName,WatchType,Price,CreationYear,MovementID,CompanyName
Rufous,Digital,3255.000000000000,1920.000000000000,Valjoux 7750,Tag Heuer
Egret,Automatic,3300.000000000000,1882.000000000000,Valjoux 7750,Apple
Phyla,Sport,4280.000000000000,1964.000000000000,ETA-2824,Tag Heuer
Nirvana,Pilot,910.000000000000,1948.000000000000,El Primero 400B,Zenith
Radial,Diving,6575.000000000000,1922.000000000000,Quartz,Zenith
Happy,Dress,7650.000000000000,1975.000000000000,JLC 965,Audemars Piguet
Longhand,Diving,2970.000000000000,1895.000000000000,Caliber 2121,Audemars Piguet
Polarimeter,Sport,7290.000000000000,1904.000000000000,El Primero 400B,IWC
Whosoever,Automatic,4730.000000000000,1948.000000000000,8500,IWC
Truly,Pilot,8170.000000000000,2002.000000000000,ML 159,Jaeger-LeCoultre
Analogous,Sport,6435.000000000000,1999.000000000000,ML 159,Zenith
Haynes,Dress,3525.000000000000,2015.000000000000,Caliber 2121,Omega
Episodic,Sport,3675.000000000000,1850.000000000000,Valjoux 7750,Omega
Bulge,Pilot,7625.000000000000,1885.000000000000,Caliber 5000,Audemars Piguet
Shakeable,Sport,8000.000000000000,1918.000000000000,Valjoux 7750,Omega
Specify,Dress,1260.000000000000,1936.000000000000,Calibre 5,Apple
Astound,Sport,6700.000000000000,1892.000000000000,El Primero 400B,Casio
Yapping,Sport,8340.000000000000,1926.000000000000,Calibre 5,Tissot
Decryption,Diving,5385.000000000000,1958.000000000000,Caliber 5000,Tissot
Savage,Digital,9590.000000000000,1975.000000000000,JLC 965,Apple
Hines,Sport,9810.000000000000,1872.000000000000,Caliber 5000,Zenith
Lodestone,Smart,750.000000000000,1905.000000000000,El Primero 400B,Omega
Bendix,Diving,1695.000000000000,1927.000000000000,JLC 965,Maurice Lacroix
Mohr,Digital,4705.000000000000,1914.000000000000,Calibre 5,Zenith
Spectroscopy,Diving,9000.000000000000,1894.000000000000,Valjoux 7750,Jaeger-LeCoultre
Administer,Digital,625.000000000000,1942.000000000000,JLC 965,Omega
Colossus,Automatic,5255.000000000000,1962.000000000000,Quartz,Tag Heuer
Calumny,Digital,2505.000000000000,1973.000000000000,Quartz,Tissot
Cambridge,Automatic,7815.000000000000,1986.000000000000,8500,Omega
Clause,Dress,7700.000000000000,1976.000000000000,Caliber 5000,Audemars Piguet
Locoweed,Smart,2490.000000000000,1973.000000000000,El Primero 400B,Tissot
